ID,pseudostem_height_cyc1,bunch_weight_cyc1,numb_hands_cyc1,numb_fruits_cyc1,sap_colour,petiole_canal_leaf_III,rachis_position,male_bud_shape,pulp_colour_maturity
01AUS0430198,275,7.5,4.5,NULL,1,2,1,3,5
01AUS0430199,375,22.5,8.5,NULL,2,4,1,2,5
01AUS0430200,NULL,NULL,NULL,NULL,2,4,1,3,5
01AUS0430201,325,17.5,6.5,NULL,2,3,1,1,5
01AUS0430204,475,22.5,12.5,NULL,1,2,2,4,5
01AUS0430205,325,12.5,2.5,NULL,2,4,0,0,5
01AUS0430206,275,7.5,7.5,NULL,1,1,3,2,2
01AUS0430208,275,12.5,6.5,NULL,1,2,3,2,4
01AUS0430210,275,12.5,5.5,NULL,2,1,4,4,4
01AUS0430211,225,7.5,7.5,NULL,1,3,2,3,4
01AUS0430212,225,7.5,5.5,NULL,1,4,3,2,3
01AUS0430213,225,2.5,5.5,NULL,2,1,3,2,5
01AUS0430214,325,7.5,7.5,NULL,1,2,0,3,3
01AUS0430215,275,7.5,7.5,NULL,2,2,1,3,5
01AUS0430216,325,7.5,7.5,NULL,2,2,2,2,NULL
01AUS0430217,275,12.5,7.5,NULL,1,1,4,3,0
01AUS0430218,275,7.5,6.5,NULL,1,1,1,2,5
01AUS0430224,275,7.5,4.5,NULL,1,3,1,2,5
01AUS0430225,225,2.5,4.5,NULL,2,3,1,2,5
01AUS0430226,275,7.5,5.5,NULL,1,3,1,3,NULL
01AUS0430227,275,7.5,6.5,NULL,1,3,1,2,5
01AUS0430228,225,7.5,4.5,NULL,1,3,1,2,3
01AUS0430230,325,7.5,4.5,NULL,2,2,1,1,3
01AUS0430231,275,7.5,6.5,NULL,1,1,1,4,4
01AUS0430232,275,7.5,5.5,NULL,2,2,1,4,5
01AUS0430233,325,7.5,2.5,NULL,1,3,0,0,5
01AUS0430234,275,12.5,7.5,NULL,1,4,3,3,4
01AUS0430235,275,7.5,4.5,NULL,1,1,1,2,5
01AUS0430236,225,22.5,8.5,NULL,2,2,1,3,5
01AUS0430239,225,7.5,4.5,NULL,2,4,1,3,5
01AUS0430240,225,2.5,4.5,NULL,2,2,1,3,5
01AUS0430242,325,2.5,5.5,NULL,2,3,1,0,5
01AUS0430243,325,17.5,6.5,NULL,2,3,1,2,NULL
01AUS0430244,375,2.5,2.5,NULL,2,4,0,2,5
01AUS0430247,325,17.5,5.5,NULL,2,2,1,0,3
01AUS0430248,275,7.5,5.5,NULL,1,3,1,2,5
01AUS0430249,225,7.5,6.5,NULL,1,3,1,3,5
01AUS0430250,275,7.5,4.5,NULL,1,3,1,3,5
01AUS0430251,325,12.5,6.5,NULL,1,4,1,3,5
01AUS0430252,425,2.5,10.5,NULL,3,2,5,3,0
01AUS0430254,325,2.5,8.5,NULL,2,2,3,3,NULL
01AUS0430255,NULL,NULL,NULL,NULL,1,3,3,3,0
01AUS0430256,NULL,NULL,NULL,NULL,1,2,1,2,NULL
01AUS0430257,275,7.5,5.5,NULL,2,3,1,3,5
01AUS0430258,225,7.5,4.5,NULL,1,1,1,3,5
01AUS0430259,225,7.5,6.5,NULL,2,2,1,3,5
01AUS0430260,225,7.5,6.5,NULL,2,2,1,3,3
01AUS0430261,225,7.5,4.5,NULL,1,1,0,3,3
01AUS0430262,275,7.5,5.5,NULL,1,3,3,3,5
01AUS0430263,325,2.5,5.5,NULL,2,1,1,1,5
01AUS0430264,275,12.5,7.5,NULL,2,2,1,2,5
01AUS0430265,225,12.5,6.5,NULL,1,3,3,3,4
01AUS0430266,275,7.5,4.5,NULL,1,1,1,3,5
01AUS0430267,225,7.5,4.5,NULL,2,1,3,3,3
01AUS0430268,225,2.5,2.5,NULL,1,1,1,3,2
01AUS0430269,225,2.5,5.5,NULL,1,1,1,2,NULL
01AUS0430271,325,7.5,4.5,NULL,1,4,1,2,3
01AUS0430273,NULL,NULL,NULL,NULL,3,3,1,3,0
01AUS0430274,NULL,NULL,NULL,NULL,1,2,1,3,4
01AUS0430275,NULL,NULL,NULL,NULL,2,2,2,2,0
01AUS0430276,NULL,NULL,NULL,NULL,1,2,1,1,NULL
01AUS0430277,NULL,NULL,NULL,NULL,2,1,0,1,0
01AUS0430278,NULL,NULL,NULL,NULL,2,2,2,0,2
01AUS0430279,NULL,NULL,NULL,NULL,2,2,1,2,0
01AUS0430280,NULL,NULL,NULL,NULL,2,3,1,2,3
01AUS0430281,NULL,NULL,NULL,NULL,1,2,3,3,0
01AUS0430282,NULL,NULL,NULL,NULL,2,2,1,2,0
